id,titulo,disciplina,ano,status,id_anterior,titulo_anterior,disciplina_anterior,ano_anterior,status_anterior
5,Organizando nomes próprios,L. Portuguesa,1,1,20629,Você realmente conhece o alfabeto?,L. Portuguesa,1,1
5,Organizando nomes próprios,L. Portuguesa,1,1,10018,As vogais,L. Portuguesa,1,1
5,Organizando nomes próprios,L. Portuguesa,1,1,10037,As consoantes,L. Portuguesa,1,1
6,Receitas e outras listas contextualizadas,L. Portuguesa,1,1,106,Jogos com regras,L. Portuguesa,1,1
9,Hipo e Hipersegmentação,L. Portuguesa,2,1,10025,Estrutura das sílabas,L. Portuguesa,2,1
9,Hipo e Hipersegmentação,L. Portuguesa,2,1,20559,As sílabas por dentro das palavras,L. Portuguesa,1,1
9,Hipo e Hipersegmentação,L. Portuguesa,2,1,20630,Sílabas e mais sílabas,L. Portuguesa,1,1
9,Hipo e Hipersegmentação,L. Portuguesa,2,1,20769,Construindo o nome das coisas,L. Portuguesa,1,1
10,Regularidades ortográficas,L. Portuguesa,2,1,54,Letras     F - V -  T - D - P -  B,L. Portuguesa,2,1
10,Regularidades ortográficas,L. Portuguesa,2,1,20760,Letra P,L. Portuguesa,1,1
10,Regularidades ortográficas,L. Portuguesa,2,1,20762,Letra T,L. Portuguesa,1,1
10,Regularidades ortográficas,L. Portuguesa,2,1,20761,Letra L - 20761,L. Portuguesa,1,1
11,Sinônimos e antônimos,L. Portuguesa,2,1,20634,Sinônimo e antônimo,L. Portuguesa,1,1
16,Recursos expressivos nos textos poéticos,L. Portuguesa,5,1,10075,O poema e sua estrutura,L. Portuguesa,4,1
17,Números naturais - 0 a 50,Matemática,1,1,20,Números no cotidiano,Matemática,1,1
17,Números naturais - 0 a 50,Matemática,1,1,41,Números naturais - 0 a 10,Matemática,1,1
18,Coleções - 0 a 20,Matemática,1,1,17,Números naturais - 0 a 50,Matemática,1,1
19,Descobrindo a adição,Matemática,1,1,20129,Agrupamento de 10,Matemática,1,1
19,Descobrindo a adição,Matemática,1,1,50,Unidade e dezena,Matemática,1,1
21,Formas geométricas,Matemática,2,1,48,Formas geométricas planas,Matemática,1,1
24,Multiplicação,Matemática,3,1,71,Adição por reagrupamento,Matemática,3,1
